rank,movie,year,rating,num_reviews
1,The Shawshank Redemption,1994,9.2,"2,500,173"
2,The Godfather,1972,9.1,"1,723,809"
3,The Godfather: Part II,1974,9.0,"1,196,321"
4,The Dark Knight,2008,9.0,"2,450,245"
5,12 Angry Men,1957,8.9,"738,507"
6,Schindler's List,1993,8.9,"1,279,690"
7,The Lord of the Rings: The Return of the King,2003,8.9,"1,727,671"
8,Pulp Fiction,1994,8.8,"1,929,781"
9,"Il buono, il brutto, il cattivo",1966,8.8,"724,655"
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"1,748,972"
11,Fight Club,1999,8.8,"1,966,978"
12,Forrest Gump,1994,8.7,"1,929,951"
13,Inception,2010,8.7,"2,198,678"
14,The Lord of the Rings: The Two Towers,2002,8.7,"1,561,763"
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"1,216,950"
16,The Matrix,1999,8.6,"1,783,420"
17,Goodfellas,1990,8.6,"1,082,694"
18,One Flew Over the Cuckoo's Nest,1975,8.6,"962,194"
19,Shichinin no samurai,1954,8.6,"331,870"
20,Se7en,1995,8.6,"1,535,904"
21,The Silence of the Lambs,1991,8.6,"1,347,025"
22,Cidade de Deus,2002,8.6,"727,317"
23,La vita è bella,1997,8.6,"659,001"
24,It's a Wonderful Life,1946,8.6,"426,538"
25,Star Wars,1977,8.6,"1,288,630"
26,Saving Private Ryan,1998,8.6,"1,306,841"
27,Interstellar,2014,8.5,"1,648,442"
28,Sen to Chihiro no kamikakushi,2001,8.5,"704,117"
29,The Green Mile,1999,8.5,"1,217,204"
30,Gisaengchung,2019,8.5,"687,854"
31,Léon,1994,8.5,"1,094,430"
32,Seppuku,1962,8.5,"50,496"
33,The Pianist,2002,8.5,"780,101"
34,Terminator 2: Judgment Day,1991,8.5,"1,042,969"
35,Back to the Future,1985,8.5,"1,125,907"
36,The Usual Suspects,1995,8.5,"1,037,593"
37,Psycho,1960,8.5,"637,878"
38,The Lion King,1994,8.5,"994,044"
39,Modern Times,1936,8.5,"230,997"
40,American History X,1998,8.5,"1,075,260"
41,Hotaru no haka,1988,8.5,"256,566"
42,City Lights,1931,8.5,"177,635"
43,Whiplash,2014,8.5,"775,407"
44,Gladiator,2000,8.5,"1,414,879"
45,The Departed,2006,8.5,"1,253,275"
46,The Intouchables,2011,8.5,"806,203"
47,The Prestige,2006,8.5,"1,258,888"
48,Casablanca,1942,8.4,"547,492"
49,Once Upon a Time in the West,1968,8.4,"316,980"
50,Rear Window,1954,8.4,"469,991"
51,Nuovo Cinema Paradiso,1988,8.4,"248,049"
52,Alien,1979,8.4,"832,589"
53,Apocalypse Now,1979,8.4,"636,165"
54,Memento,2000,8.4,"1,179,502"
55,Raiders of the Lost Ark,1981,8.4,"924,374"
56,The Great Dictator,1940,8.4,"215,021"
57,The Lives of Others,2006,8.4,"375,766"
58,Django Unchained,2012,8.4,"1,446,289"
59,Paths of Glory,1957,8.4,"188,960"
60,Sunset Blvd.,1950,8.4,"213,111"
61,WALL·E,2008,8.4,"1,053,065"
62,Avengers: Infinity War,2018,8.4,"946,722"
63,Witness for the Prosecution,1957,8.4,"117,959"
64,The Shining,1980,8.4,"956,788"
65,Spider-Man: Into the Spider-Verse,2018,8.4,"440,388"
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"471,114"
67,Mononoke-hime,1997,8.3,"369,536"
68,Oldeuboi,2003,8.3,"547,394"
69,Joker,2019,8.3,"1,102,887"
70,Kimi no na wa.,2016,8.3,"231,878"
71,Coco,2017,8.3,"443,772"
72,The Dark Knight Rises,2012,8.3,"1,594,966"
73,Aliens,1986,8.3,"685,131"
74,Once Upon a Time in America,1984,8.3,"333,359"
75,Capharnaüm,2018,8.3,"78,396"
76,Avengers: Endgame,2019,8.3,"968,187"
77,Das Boot,1981,8.3,"242,461"
78,Tengoku to jigoku,1963,8.3,"40,547"
79,3 Idiots,2009,8.3,"372,520"
80,Toy Story,1995,8.3,"936,387"
81,American Beauty,1999,8.3,"1,112,269"
82,Amadeus,1984,8.3,"385,366"
83,Braveheart,1995,8.3,"995,790"
84,Hamilton,2020,8.3,"77,444"
85,Inglourious Basterds,2009,8.3,"1,350,134"
86,Good Will Hunting,1997,8.3,"910,962"
87,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"995,443"
88,2001: A Space Odyssey,1968,8.3,"636,278"
89,Reservoir Dogs,1992,8.3,"967,126"
90,M - Eine Stadt sucht einen Mörder,1931,8.3,"152,025"
91,Taare Zameen Par,2007,8.3,"182,887"
92,Vertigo,1958,8.3,"385,938"
93,Idi i smotri,1985,8.3,"69,894"
94,Citizen Kane,1941,8.3,"425,888"
95,Jagten,2012,8.3,"308,099"
